#index     query     filename
  1     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z >= 0.0000 AND z <= 100.00"     subvol_N_0_0_0_snapnum_48.csv
  2     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z > 100.00 AND z <= 200.00"     subvol_N_0_0_1_snapnum_48.csv
  3     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z > 200.00 AND z <= 300.00"     subvol_N_0_0_2_snapnum_48.csv
  4     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y >= 0.0000 AND y <= 100.00 AND z > 300.00 AND z <= 400.00"     subvol_N_0_0_3_snapnum_48.csv
  5     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z >= 0.0000 AND z <= 100.00"     subvol_N_0_1_0_snapnum_48.csv
  6     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z > 100.00 AND z <= 200.00"     subvol_N_0_1_1_snapnum_48.csv
  7     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z > 200.00 AND z <= 300.00"     subvol_N_0_1_2_snapnum_48.csv
  8     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 100.00 AND y <= 200.00 AND z > 300.00 AND z <= 400.00"     subvol_N_0_1_3_snapnum_48.csv
  9     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 200.00 AND y <= 300.00 AND z >= 0.0000 AND z <= 100.00"     subvol_N_0_2_0_snapnum_48.csv
 10     "SELECT COUNT(rockstarId) FROM SMDPL.Rockstar WHERE snapnum=48 AND x >= 0.0000 AND x <= 100.00 AND y > 200.00 AND y <= 300.00 AND z > 100.00 AND z <= 200.00"     subvol_N_0_2_1_snapnum_48.csv
